rank,symbol,name,industry,score_total,score_revenue,score_expectation_gap,score_price_volume,score_theme_group,score_chip,score_catalyst,risk_penalty,score_raw_available_norm,score_coverage_adjusted,score_cap,stage,entry_zone,reasons,risk_flags,last_close,ret_20d,ret_60d,volume_z_20,volume_expansion_ratio,rs_20d,rs_60d,breakout_flag,breakout_120d_flag,ma_alignment_bull_flag,mode,score_data_coverage_ratio,robot_slot_coverage_ratio,robot_slot_statuses,available_radars,degraded_radars,core_data_ready_flag,created_at
11,3498,陽程,,27.6,,100.0,38.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""成交量為 20 日均量 1.5 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",87.7,0.2728592162554426,0.750499001996008,0.9289565438017314,1.5080040264039742,,,0,0,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
12,3526,凡甲,,27.6,,100.0,38.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""成交量為 20 日均量 1.8 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",330.0,0.22222222222222232,0.2890625,0.9766672643748792,1.8057307923793244,,,0,0,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
13,3580,友威科,,27.6,,100.0,38.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""成交量為 20 日均量 1.7 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",85.9,0.24312590448625193,0.2359712230215829,1.2100496744550229,1.7102863917480748,,,0,0,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
14,6026,福邦證,,27.6,,100.0,38.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""成交量為 20 日均量 1.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",15.35,0.06228373702422152,0.04778156996587035,0.4606590022953578,1.2578942417533558,,,0,0,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
15,6207,雷科,,27.6,,90.0,48.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""突破 120 日整理區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",64.5,0.3083164300202841,0.18131868131868134,3.5711343302240373,4.6242903704449585,,,1,1,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
16,6261,久元,,27.6,,100.0,38.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""成交量為 20 日均量 2.2 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",91.5,0.27083333333333326,0.30156472261735434,1.2723556730325243,2.2030546730160414,,,0,0,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
17,6642,富致,,27.6,,100.0,38.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""成交量為 20 日均量 1.2 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",57.2,0.07518796992481214,0.061224489795918435,0.4190514825776202,1.2121204028169519,,,0,0,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
18,6651,全宇昕,,27.6,,100.0,38.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""成交量為 20 日均量 1.9 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",107.0,0.32754342431761807,0.2814371257485031,0.5951682835541863,1.9322893935460044,,,0,0,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
19,1409,新纖,,27.6,,100.0,38.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""成交量為 20 日均量 1.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",16.799999237060547,0.0873786048195182,0.1125827028241011,0.291766764497383,1.299590707874406,,,0,0,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
20,1560,中砂,,27.6,,100.0,38.0,,,,0.0,69.0,27.6,70.0,S2,early_watch,"[""成交量為 20 日均量 1.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""surveillance 缺資料，注意/處置風險未驗證"", ""revenue 缺資料，基本面未驗證"", ""chip 缺資料，籌碼未驗證"", ""catalyst 缺資料，缺少 1-6 個月重估催化劑""]",540.0,0.26909518213866046,0.2514484356894553,0.982761759309645,1.2664389396199618,,,0,0,1,simple_price_volume_mode,0.4,0.25,"{""PRICE_SLOT"": ""installed"", ""UNIVERSE_SLOT"": ""installed"", ""REVENUE_SLOT"": ""missing"", ""CHIP_SLOT"": ""missing"", ""SURVEILLANCE_SLOT"": ""missing"", ""CATALYST_SLOT"": ""missing"", ""CORPORATE_SLOT"": ""missing"", ""FINANCIAL_SLOT"": ""missing"", ""VALUATION_SLOT"": ""missing"", ""CALENDAR_SLOT"": ""partial""}","[""expectation_gap"", ""price_volume""]","[""revenue"", ""theme_group"", ""chip"", ""catalyst"", ""surveillance""]",0,2026-05-12T21:50:49
