rank,symbol,name,industry,universe_mode,score_total,score_raw_available_norm,score_coverage_adjusted,score_cap,data_coverage_ratio,available_radars,degraded_radars,core_data_ready_flag,score_revenue,score_expectation_gap,expectation_gap_source,score_price_volume,score_theme_group,score_chip,score_catalyst,risk_penalty,stage,entry_zone,reasons,risk_flags,last_close,avg_amount_20,ret_20d,ret_60d,ret_120d,volume_z_20,volume_expansion_ratio,rs_20d,rs_60d,breakout_flag,breakout_60d_flag,breakout_120d_flag,rev_1m_yoy,rev_3m_yoy,rev_6m_yoy,rev_3m_vs_12m_acceleration,latest_revenue_month,latest_revenue_release_date,foreign_buy_5d,investment_trust_buy_5d,inst_buy_total_20d,margin_change_20d,next_catalyst_date,next_catalyst_category,data_quality_flags,survivorship_bias_warning,price_data_source,revenue_data_source,chip_data_source,created_at
11,2059,川湖,電子工業,elastic,34.85,63.3636,34.85,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,90.0,price_only,28.0,75.0,,,0.0,S1,new_observation,"[""volume expansion 1.5x 20D average"", ""price is above MA20 and MA60"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",3910.0,2860800111.5,0.23149606299212588,0.12195121951219523,0.012953367875647714,1.2150950061705141,1.5337149564437347,,,0,0,0,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
12,3260,威剛,半導體業,elastic,34.6,62.9091,34.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,90.0,price_only,38.0,60.0,,,0.0,S1,new_observation,"[""volume expansion 1.2x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",436.0,12764490501.5,0.30149253731343273,0.4704890387858347,1.2767624020887727,0.47520490971369705,1.2151517279677024,,,0,0,0,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
13,3526,凡甲,電子零組件業,elastic,34.6,62.9091,34.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,90.0,price_only,38.0,60.0,,,0.0,S1,new_observation,"[""volume expansion 1.8x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",330.0,299900195.0,0.22222222222222232,0.2890625,0.3387423935091278,0.9766672643748792,1.8057307923793244,,,0,0,0,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
14,6261,久元,半導體業,elastic,34.6,62.9091,34.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,90.0,price_only,38.0,60.0,,,0.0,S1,new_observation,"[""volume expansion 2.2x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",91.5,544635927.6,0.27083333333333326,0.30156472261735434,0.5614334470989761,1.2723556730325243,2.2030546730160414,,,0,0,0,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
15,6642,富致,電子零組件業,elastic,34.6,62.9091,34.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,90.0,price_only,38.0,60.0,,,0.0,S1,new_observation,"[""volume expansion 1.2x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",57.2,10607037.65,0.07518796992481214,0.061224489795918435,0.007042253521126751,0.4190514825776202,1.2121204028169519,,,0,0,0,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
16,6651,全宇昕,半導體業,elastic,34.6,62.9091,34.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,90.0,price_only,38.0,60.0,,,0.0,S1,new_observation,"[""volume expansion 1.9x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",107.0,32040833.95,0.32754342431761807,0.2814371257485031,0.4758620689655173,0.5951682835541863,1.9322893935460044,,,0,0,0,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
17,1560,中砂,電機機械,elastic,34.6,62.9091,34.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,90.0,price_only,38.0,60.0,,,0.0,S1,new_observation,"[""volume expansion 1.3x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",540.0,1392992802.85,0.26909518213866046,0.2514484356894553,0.7252396166134185,0.982761759309645,1.2664389396199618,,,0,0,0,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
18,2393,億光,電子工業,elastic,34.6,62.9091,34.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,90.0,price_only,38.0,60.0,,,0.0,S1,new_observation,"[""volume expansion 1.4x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",71.0999984741211,189815999.47767448,0.06437118601673664,0.2606382367116986,0.19495795754825362,1.4713779404344256,1.37328271260516,,,0,0,0,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
19,2451,創見,電子工業,elastic,34.6,62.9091,34.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,90.0,price_only,38.0,60.0,,,0.0,S1,new_observation,"[""volume expansion 1.7x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",252.5,2213875853.775,0.19668246445497628,0.08836206896551735,0.9128787878787878,1.3326778104931676,1.7281945680131294,,,0,0,0,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
20,3356,奇偶,電子工業,elastic,34.6,62.9091,34.6,70.0,0.55,"[""expectation_gap"", ""price_volume"", ""theme_group""]","[""catalyst"", ""chip"", ""revenue""]",0,,90.0,price_only,38.0,60.0,,,0.0,S1,new_observation,"[""volume expansion 1.5x 20D average"", ""moving averages are bull aligned"", ""price-only expectation gap proxy is constructive""]","[""catalyst radar degraded"", ""chip radar degraded"", ""revenue radar degraded"", ""revenue data missing; core score is capped and S3 is blocked"", ""chip data missing; institutional and margin signals unavailable"", ""catalyst data missing; event timing confidence unavailable"", ""data coverage below 60%; ranking confidence is low""]",54.0,34295477.80814133,0.14649685242920096,0.0986774836938189,0.15508021390374327,0.88141873130855,1.536903631902247,,,0,0,0,,,,,,,,,,,,,"[""market_cap_missing""]",delisted coverage unknown unless the source includes historical delistings,local_daily_price,optional_local_file,optional_local_file,2026-05-11T01:16:42
