rank,symbol,name,industry,score_total,score_revenue,score_expectation_gap,score_price_volume,score_theme_group,score_chip,score_catalyst,risk_penalty,stage,entry_zone,reasons,risk_flags,last_close,ret_20d,ret_60d,volume_z_20,rs_20d,rs_60d,breakout_flag,created_at
13,6651,全宇昕,半導體業,77.4545,,100.0,38.0,100.0,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.9 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",107.0,0.32754342431761807,0.2814371257485031,0.5951682835541863,,,0,2026-05-10T21:50:52
14,6823,濾能,半導體業,76.7273,,85.0,73.0,100.0,,,8.0,S3,candidate_entry,"[""突破 120 日整理區"", ""成交量為 20 日均量 3.3 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""近 20 日漲幅偏高"", ""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",96.8,0.5947281713344315,0.5816993464052287,2.497557535049816,,,1,2026-05-10T21:50:52
15,3526,凡甲,電子零組件業,75.8682,,100.0,38.0,94.1835,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.8 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",330.0,0.22222222222222232,0.2890625,0.9766672643748792,,,0,2026-05-10T21:50:52
16,6207,雷科,電子零組件業,75.8682,,90.0,48.0,94.1835,,,0.0,S3,candidate_entry,"[""突破 120 日整理區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",64.5,0.3083164300202841,0.18131868131868134,3.5711343302240373,,,1,2026-05-10T21:50:52
17,6642,富致,電子零組件業,75.8682,,100.0,38.0,94.1835,,,0.0,S2,early_watch,"[""成交量為 20 日均量 1.2 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",57.2,0.07518796992481214,0.061224489795918435,0.4190514825776202,,,0,2026-05-10T21:50:52
18,2330,台積電,電子工業,75.4637,,100.0,38.0,92.7004,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",2135.0,0.21306818181818188,0.21306818181818188,0.9927011994276532,,,0,2026-05-10T21:50:52
19,2393,億光,電子工業,75.4637,,100.0,38.0,92.7004,,,0.0,S2,early_watch,"[""成交量為 20 日均量 1.4 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",71.0999984741211,0.06437118601673664,0.2606382367116986,1.4713779404344256,,,0,2026-05-10T21:50:52
20,2451,創見,電子工業,75.4637,,100.0,38.0,92.7004,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.7 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",252.5,0.19668246445497628,0.08836206896551735,1.3326778104931676,,,0,2026-05-10T21:50:52
21,3356,奇偶,電子工業,75.4637,,100.0,38.0,92.7004,,,0.0,S2,early_watch,"[""成交量為 20 日均量 1.5 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",54.0,0.14649685242920096,0.0986774836938189,0.88141873130855,,,0,2026-05-10T21:50:52
22,4927,泰鼎-KY,電子工業,75.4637,,100.0,38.0,92.7004,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.7 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",52.20000076293945,0.30012450259294887,0.4360385957128048,1.0500142968510973,,,0,2026-05-10T21:50:52
23,6579,研揚,電子工業,75.4637,,100.0,38.0,92.7004,,,0.0,S2,early_watch,"[""成交量為 20 日均量 2.1 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",121.5,0.08000000000000007,0.08968609865470856,2.1841125235463146,,,0,2026-05-10T21:50:52
24,8162,微矽電子-創,電子工業,75.4637,,100.0,38.0,92.7004,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.4 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",50.70000076293945,0.3272251243546347,0.3033418708019944,0.3360489978144469,,,0,2026-05-10T21:50:52
25,1560,中砂,電機機械,75.4244,,100.0,38.0,92.5561,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",540.0,0.26909518213866046,0.2514484356894553,0.982761759309645,,,0,2026-05-10T21:50:52
26,4576,大銀微系統,電機機械,74.6971,,75.0,83.0,92.5561,,,8.0,S4,hold_or_trail,"[""突破 120 日整理區"", ""成交量為 20 日均量 2.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""近 20 日漲幅偏高"", ""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",222.0,0.6946564885496183,0.8048780487804879,1.291304021769707,,,1,2026-05-10T21:50:52
27,5269,祥碩,半導體業,73.8182,,100.0,28.0,100.0,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 2.1 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",1365.0,0.2816901408450705,0.10975609756097571,1.6027095699687064,,,0,2026-05-10T21:50:52
28,3511,矽瑪,電子零組件業,72.2319,,100.0,28.0,94.1835,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 3.5 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",22.85,0.2554945054945057,0.07276995305164324,2.0732628297928004,,,0,2026-05-10T21:50:52
29,3122,笙泉,半導體業,72.0,,85.0,38.0,100.0,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.6 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",32.7,0.36534446764091877,0.35123966942148765,0.4090852637334197,,,0,2026-05-10T21:50:52
