period_date,rank,symbol,name,score_total,stage,entry_zone,forward_max_return,forward_close_return,forward_max_drawdown,hit_3x,hit_5x
2021-12-01,1,3294,英濟,70.0,S2,early_watch,0.2148499210110586,-0.28436018957345977,-0.39020537124802523,0,0
2021-12-01,2,3306,鼎天,70.0,S2,early_watch,0.139275766016713,-0.26323119777158777,-0.4052924791086351,0,0
2021-12-01,3,5245,智晶,70.0,S2,early_watch,0.7739273927392738,0.034653465346534684,0.0066006600660066805,0,0
2021-12-01,4,5383,金利,70.0,S2,early_watch,0.16254416961130747,-0.23674911660777398,-0.33333333333333337,0,0
2021-12-01,5,6126,信音,70.0,S2,early_watch,0.09401709401709413,-0.24444444444444435,-0.24615384615384617,0,0
2021-12-01,6,6576,逸達,70.0,S2,early_watch,0.37323943661971826,0.3229376257545271,-0.00905432595573441,0,0
2021-12-01,7,8289,泰藝,70.0,S2,early_watch,-0.0011904761904760752,-0.16309523809523818,-0.25,0,0
2021-12-01,8,8406,金可-KY,70.0,S2,early_watch,0.03917910447761197,0.03917910447761197,-0.018656716417910446,0,0
2021-12-01,9,1529,樂事綠能,70.0,S2,early_watch,0.8229167705580211,0.018229192639505287,-0.049479107637487973,0,0
2021-12-01,10,2383,台光電,70.0,S2,early_watch,0.030411449016100267,-0.184257602862254,-0.2468694096601073,0,0
2021-12-01,11,2415,錩新,70.0,S2,early_watch,-0.04766736831366114,-0.2626775012963829,-0.3154158440137841,0,0
2021-12-01,12,3028,增你強,70.0,S2,early_watch,0.25038407732432555,0.14132111817627702,-0.04301074197680077,0,0
2021-12-01,13,3535,晶彩科,70.0,S2,early_watch,0.8488665016449801,0.410579317980186,-0.12342572875850244,0,0
2021-12-01,14,5607,遠雄港,70.0,S2,early_watch,0.23115575873039051,-0.1624790574956423,-0.18341707712427846,0,0
2021-12-01,15,6205,詮欣,70.0,S2,early_watch,0.6736842372961211,0.3438596223530017,-0.03508771929824561,0,0
2021-12-01,16,6243,迅杰,70.0,S2,early_watch,0.09907123339086077,-0.3482972218492165,-0.41099070997186693,0,0
2021-12-01,17,6782,視陽,70.0,S2,early_watch,0.0589622641509433,-0.037735849056603765,-0.14622641509433965,0,0
2021-12-01,18,3036,文曄,69.2456,S2,early_watch,0.45098038068439594,0.1598794187751862,-0.03016590157588539,0,0
2021-12-01,19,6654,天正國際,69.0757,S2,early_watch,-0.040723981900452455,-0.4533936651583711,-0.48416289592760176,0,0
2021-12-01,20,5274,信驊,68.8386,S2,early_watch,0.09523809523809534,-0.3394777265745008,-0.3947772657450077,0,0
2022-01-03,1,3083,網龍,70.0,S2,early_watch,0.030441400304414,-0.3264840182648402,-0.3660578386605784,0,0
2022-01-03,2,3086,華義*,70.0,S2,early_watch,0.2834008097165992,-0.27692307692307694,-0.3109311740890689,0,0
2022-01-03,3,3202,樺晟,70.0,S2,early_watch,0.04499999999999993,-0.3075,-0.3400000000000001,0,0
2022-01-03,4,3290,東浦,70.0,S2,early_watch,0.014492753623188248,-0.27717391304347827,-0.32608695652173914,0,0
2022-01-03,5,3310,佳穎,70.0,S2,early_watch,0.1299871299871298,-0.0643500643500643,-0.120978120978121,0,0
2022-01-03,6,3434,哲固,70.0,S2,early_watch,1.626344086021505,0.2661290322580645,-0.08602150537634412,0,0
2022-01-03,7,3684,榮昌,70.0,S2,early_watch,0.1314475873544092,-0.23544093178036607,-0.2845257903494176,0,0
2022-01-03,8,4939,亞電,70.0,S2,early_watch,0.18143459915611815,-0.2426160337552743,-0.2932489451476793,0,0
2022-01-03,9,5371,中光電,70.0,S2,early_watch,-0.020477815699658786,-0.38680318543799774,-0.4647326507394768,0,0
2022-01-03,10,5488,松普,70.0,S2,early_watch,-0.03240740740740755,-0.19074074074074077,-0.30648148148148147,0,0
2022-01-03,11,5864,致和證,70.0,S2,early_watch,-0.022499999999999964,-0.5,-0.5205,0,0
2022-01-03,12,6015,宏遠證,70.0,S2,early_watch,-0.0237467018469657,-0.29815303430079154,-0.3509234828496042,0,0
2022-01-03,13,6026,福邦證,70.0,S2,early_watch,-0.025477707006369532,-0.37791932059447986,-0.42462845010615713,0,0
2022-01-03,14,6126,信音,70.0,S2,early_watch,0.0494233937397035,-0.32289950576606263,-0.3756177924217463,0,0
2022-01-03,15,6169,昱泉,70.0,S2,early_watch,-0.00340136054421758,-0.346938775510204,-0.3639455782312925,0,0
2022-01-03,16,6180,橘子,70.0,S2,early_watch,0.004255319148936065,-0.17304964539007095,-0.21843971631205672,0,0
2022-01-03,17,6245,立端,70.0,S2,early_watch,0.22105263157894717,0.1701754385964913,-0.10701754385964912,0,0
2022-01-03,18,6284,佳邦,70.0,S2,early_watch,0.039671682626539084,-0.3310533515731874,-0.4110807113543091,0,0
2022-01-03,19,6664,群翊,70.0,S2,early_watch,0.2905236907730673,0.016209476309226867,-0.057356608478803084,0,0
2022-01-03,20,8038,長園科,70.0,S2,early_watch,0.07594936708860756,-0.17721518987341767,-0.2626582278481012,0,0
2022-02-07,1,3088,艾訊,70.0,S2,early_watch,0.16039279869067102,-0.039279869067103124,-0.07364975450081834,0,0
2022-02-07,2,3324,雙鴻,70.0,S2,early_watch,0.09892473118279566,-0.2817204301075269,-0.4086021505376344,0,0
2022-02-07,3,3537,堡達,70.0,S2,early_watch,0.08787128712871306,-0.18069306930693063,-0.19059405940594054,0,0
2022-02-07,4,4174,浩鼎,70.0,S2,early_watch,0.03846153846153855,-0.38923076923076916,-0.41538461538461535,0,0
2022-02-07,5,4726,永昕,70.0,S2,early_watch,0.2158808933002483,-0.037220843672456594,-0.14267990074441683,0,0
2022-02-07,6,4728,雙美,70.0,S2,early_watch,0.5211267605633803,0.49295774647887325,-0.09765258215962447,0,0
2022-02-07,7,8155,博智,70.0,S2,early_watch,0.08521303258145374,-0.39598997493734334,-0.493734335839599,0,0
2022-02-07,8,8279,生展,70.0,S2,early_watch,0.17557251908396942,0.17557251908396942,-0.13740458015267176,0,0
2022-02-07,9,8406,金可-KY,70.0,S2,early_watch,0.010889292196007316,0.010889292196007316,-0.005444646098003658,0,0
2022-02-07,10,1303,南亞,70.0,S2,early_watch,0.045810038816995524,-0.25139664804469275,-0.3229050449818872,0,0
2022-02-07,11,1529,樂事綠能,70.0,S2,early_watch,0.2006860646038695,-0.42710123148088774,-0.45797600490839574,0,0
2022-02-07,12,1589,永冠-KY,70.0,S2,early_watch,0.10015171959486646,-0.16995448412154002,-0.22154782929837935,0,0
2022-02-07,13,1733,五鼎,70.0,S2,early_watch,0.06099820970117742,-0.00924214443812188,-0.07578555618781291,0,0
2022-02-07,14,2006,東和鋼鐵,70.0,S2,early_watch,0.13611115349663638,-0.27361112170749236,-0.3284722434149848,0,0
2022-02-07,15,2347,聯強,70.0,S2,early_watch,0.1387696242703369,-0.21030043550853295,-0.2618026130511978,0,0
2022-02-07,16,2412,中華電,70.0,S2,early_watch,0.11392405063291133,0.03375527426160341,-0.00421940928270037,0,0
2022-02-07,17,2545,皇翔,70.0,S2,early_watch,0.5248755739719604,0.07835815053231632,-0.02363185932611378,0,0
2022-02-07,18,2884,玉山金,70.0,S2,early_watch,0.1803004838209339,0.001460063052376448,-0.11519196559137135,0,0
2022-02-07,19,2886,兆豐金,70.0,S2,early_watch,0.18289476786430003,-0.028947357140254537,-0.11973683928506362,0,0
2022-02-07,20,3030,德律,70.0,S2,early_watch,0.18137258415754998,-0.03594772443649541,-0.060457528052516696,0,0
2022-03-01,1,2065,世豐,70.0,S2,early_watch,0.016853932584269593,-0.03183520599250933,-0.20037453183520593,0,0
2022-03-01,2,3710,連展投控,70.0,S2,early_watch,0.06626506024096379,0.036144578313252795,-0.37349397590361444,0,0
2022-03-01,3,4950,金耘國際,70.0,S2,early_watch,0.2104166666666667,0.0,-0.04999999999999993,0,0
2022-03-01,4,6259,百徽,70.0,S2,early_watch,0.010183299389002087,-0.46945010183299385,-0.4775967413441956,0,0
2022-03-01,5,6664,群翊,70.0,S2,early_watch,0.18421052631578938,0.016018306636155444,-0.13501144164759737,0,0
2022-03-01,6,8049,晶采,70.0,S2,early_watch,0.035849056603773466,-0.015094339622641506,-0.09245283018867922,0,0
2022-03-01,7,1605,華新,70.0,S2,early_watch,0.6724137734911142,0.3734411439175749,-0.03620691351062466,0,0
