entry_zone,forward_close_return,forward_max_drawdown,forward_max_return,forward_min_return_from_entry,forward_path_max_drawdown,hit_3x,hit_5x,name,period_date,rank,score_total,stage,strategy_name,symbol,trade_date
early_watch,0.7754569190600524,-0.5096777375622144,0.7754569190600524,-0.5096777375622144,-0.6119970526577028,0,0,台境*,2021-08-02,1,0.0,S2,radar_model,8476,2021-08-02
early_watch,0.7754569190600524,-0.5096777375622144,0.7754569190600524,-0.5096777375622144,-0.6119970526577028,0,0,台境*,2021-08-02,1,0.0,S2,random_top_n,8476,2021-08-02
early_watch,0.7754569190600524,-0.5096777375622144,0.7754569190600524,-0.5096777375622144,-0.6119970526577028,0,0,台境*,2021-08-02,1,0.0,S2,ma_alignment_only,8476,2021-08-02
early_watch,0.17052631578947364,-0.5508655748869243,0.45894736842105255,-0.5508655748869243,-0.6234089299541875,0,0,台境*,2021-09-01,1,0.0,S2,radar_model,8476,2021-09-01
early_watch,0.17052631578947364,-0.5508655748869243,0.45894736842105255,-0.5508655748869243,-0.6234089299541875,0,0,台境*,2021-09-01,1,0.0,S2,random_top_n,8476,2021-09-01
early_watch,0.16666666666666652,-0.5327055551172273,0.4085365853658536,-0.5327055551172273,-0.6234089299541875,0,0,台境*,2021-10-01,1,0.0,S2,radar_model,8476,2021-10-01
early_watch,0.16666666666666652,-0.5327055551172273,0.4085365853658536,-0.5327055551172273,-0.6234089299541875,0,0,台境*,2021-10-01,1,0.0,S2,random_top_n,8476,2021-10-01
early_watch,-0.11093502377179076,-0.25198098256735335,0.011093502377178988,-0.25198098256735335,-0.25198098256735335,0,0,中探針,2021-11-01,1,36.6,S2,radar_model,6217,2021-11-01
early_watch,0.053968253968254,-0.20317460317460323,0.3746031746031746,-0.20317460317460323,-0.35103926096997695,0,0,博智,2021-11-01,2,36.6,S2,radar_model,8155,2021-11-01
early_watch,0.08133971047384225,-0.10526318478773611,0.5813397104738423,-0.10526318478773611,-0.3237519008509182,0,0,佳能,2021-11-01,3,36.6,S2,radar_model,2374,2021-11-01
early_watch,-0.3979592217378235,-0.3979592217378235,0.17091830099865502,-0.3979592217378235,-0.4858387833303939,0,0,全訊,2021-11-01,4,36.6,S2,radar_model,5222,2021-11-01
early_watch,-0.26859507915307246,-0.26859507915307246,0.10055094610756776,-0.26859507915307246,-0.3354192975493203,0,0,康舒,2021-11-01,5,36.6,S2,radar_model,6282,2021-11-01
early_watch,-0.11595070881805813,-0.15526308262354238,0.4641148353360227,-0.15526308262354238,-0.4230391653790013,0,0,嘉晶,2021-11-01,6,35.2,S2,radar_model,3016,2021-11-01
early_watch,-0.20283019833639437,-0.20283019833639437,0.16823891526753298,-0.20283019833639437,-0.31763118721220696,0,0,合勤控,2021-11-01,7,34.6,S2,radar_model,3704,2021-11-01
early_watch,-0.3784530386740331,-0.47513812154696133,-0.023941068139963106,-0.47513812154696133,-0.47513812154696133,0,0,統振,2021-11-01,8,33.6,S2,radar_model,6170,2021-11-01
early_watch,-0.17333333333333334,-0.17333333333333334,0.17866668701171884,-0.17333333333333334,-0.29864254604283424,0,0,昇貿,2021-11-01,9,33.6,S2,radar_model,3305,2021-11-01
early_watch,0.8698224852071006,-0.04852069200143305,1.2579882017959503,-0.04852069200143305,-0.19496853434615014,0,0,詮欣,2021-11-01,10,33.6,S2,radar_model,6205,2021-11-01
early_watch,-0.16858237547892718,-0.1724137931034483,0.11877394636015315,-0.1724137931034483,-0.26027397260273977,0,0,廣越,2021-11-01,11,33.2,S2,radar_model,4438,2021-11-01
early_watch,-0.25875486381322954,-0.25875486381322954,0.2178988326848248,-0.25875486381322954,-0.39137380191693294,0,0,南電,2021-11-01,12,32.6,S2,radar_model,8046,2021-11-01
early_watch,0.03431372549019618,-0.009803921568627416,0.11274509803921573,-0.009803921568627416,-0.07048458149779735,0,0,中保科,2021-11-01,13,32.6,S2,radar_model,9917,2021-11-01
early_watch,-0.2885572139303483,-0.31343283582089554,0.4900497512437809,-0.31343283582089554,-0.5392320534223706,0,0,詠昇,2021-11-01,14,31.6,S2,radar_model,6418,2021-11-01
early_watch,0.09326424870466332,-0.08808290155440412,0.4766839378238341,-0.08808290155440412,-0.356140350877193,0,0,茂達,2021-11-01,15,31.2,S2,radar_model,6138,2021-11-01
early_watch,-0.11715481171548114,-0.11715481171548114,0.33891213389121333,-0.11715481171548114,-0.34062499999999996,0,0,技嘉,2021-11-01,16,30.2,S2,radar_model,2376,2021-11-01
early_watch,0.0462776804878704,-0.1780684270811992,0.3380281965801881,-0.1780684270811992,-0.21804511806103277,0,0,安集,2021-11-01,17,30.2,S2,radar_model,6477,2021-11-01
early_watch,-0.41124780316344467,-0.46045694200351495,0.017574692442882345,-0.46045694200351495,-0.46977547495682215,0,0,朋程,2021-11-01,18,29.6,S2,radar_model,8255,2021-11-01
early_watch,-0.18181818181818177,-0.18181818181818177,0.030909090909090997,-0.18181818181818177,-0.2063492063492064,0,0,光洋科,2021-11-01,19,27.6,S2,radar_model,1785,2021-11-01
early_watch,-0.2781844802342607,-0.2781844802342607,0.15519765739385072,-0.2781844802342607,-0.3751584283903676,0,0,上詮,2021-11-01,20,27.6,S2,radar_model,3363,2021-11-01
early_watch,-0.04958680682263317,-0.09090911956947512,0.12396693824052618,-0.09090911956947512,-0.19117649327512365,0,0,仁寶,2021-11-01,1,22.6,S2,random_top_n,2324,2021-11-01
